Address,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Date_entered/renewed,Property_views,Latitude,Longitude,Pre_processed_desc,Desc_length,Price_per_month,County,adjective_counts
"Cluain Fada, Ballysheedy, Co. Limerick",Double Room,En-suite,House,1,Immediately,1 Year,1,Yes,Male / Female,01/03/2023,"1,412",,,luxury room let double en suite bedroom within modern detach house separate living room occupant use property enjoy easy access city centre uhl raheen industrial estate etc 700 per month inclusive bill viewing detail call 087 943 9319,316,700,Limerick,5
"Anglers Walk, Drummin, Co. Carlow",Single Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,13/04/2023,880,,,single room available rent quiet house 480 per month exclude bill owner occupy central location near amenity shopping centre 5 minute walk bus coach park 10 minute walk college,224,480,Carlow,4
"141 Dooradoyle Park, Dooradoyle, Limerick, Mungret, Co. Limerick",Single Room,Shared Bathroom,House,1,"Apr 22nd, 2023",1 Year +,4,No,Male / Female,08/04/2023,"1,184",,,single room rent semi detached house three young professional locate dooradoyle within walk distance crescent shopping center dooradoyle gym,184,340,Limerick,2
"Mill Road, Corbally, Co. Limerick",Single & Double Room,Shared Bathroom,House,3,"Apr 17th, 2023",6 Months,4,Yes,Male / Female,13/04/2023,129,,,house share 3 bedroom available bedroom 1 625pm strictly one occupant double bed share bathroom bedroom 2 625pm strictly one occupant double bed share bathroom bedroom 3 550pm single bed share bathroom internet bin include utility bill not include strictly one occupant per room one month deposit require,344,550,Limerick,4
"Riverstown, Tramore, Co. Waterford",Double Room,Shared Bathroom,House,1,Immediately,1 Month,1,Yes,Male / Female,13/04/2023,99,52.1637018,-7.1395296,short term 4 week double bed desk great location tramore beach 4 minute walk bus stop waterford wit bill include,154,1000,Waterford,3
"An Scailp, Letterpeak, Spiddal, Galway, Moycullen, Co. Galway",Double Room,En-suite,House,1,"Apr 25th, 2023",1 Year +,1,Yes,Male / Female,13/04/2023,107,,,double room en suite available three bedroom house,65,600,Galway,2
"35 Shrewsbury, Dublin 4, Dublin 4",Double Room,Shared Bathroom,House,2,"Apr 28th, 2023",1 Year +,3,No,Female,11/04/2023,"1,273",53.325834,-6.2211490881653,2 room available 15 minute walk form ballsbridge 7 minute walk form sydney parade sandymount dart station 3 young professional female currently live house bill split 5 way double room one en suite rent 820 840 bill approx 50 per month gas electricity wifi tv viewing available friday 14th sunday 16th email,403,820,Dublin 4,6
"12 Richmond Avenue, Fairview, Dublin 3",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,2,No,Female,08/04/2023,880,53.3640405,-6.243024,double room available rent 3bed 3bath including guest toilet apartment area serve public transport facility 123 bus 5mins walk leave development every 5 10 minute go city centre bus service include 151427a b4243h1h2 8mins walk clontarf train station 15 min away foot development apartment clean spacious room bright balcony nice bed wardrobe look female open male balcony bike storage apartment private secure well maintain whole apartment electric no gas expense end month would electricity bill every 2 month internet tv every month rent double room 1000 euro per month bill not include deposit rent please email bit ideal move date picture share viewing arrange look forward hear,1018,,Dublin 3,19
"Rockfield, Maynooth, Co. Kildare",Double Room,En-suite,House,1,Immediately,1 Year,3,No,Male,10/04/2023,485,53.3742888,-6.581725528349337,this room ideal study wfh lovely window view accommodation comprise communal kitchen lounge room washing machine dryer 6667 bus stop nearby train station link castleknock drumcondra dublin connolly station grand canal dock east kilcock enfield mullingar longford west high end bedroom en suite lease minimum year internet refuse bin collection include rent bill oil central heating electricity share occupant share three male professional room reply detail email contact arrange viewing,726,900,Kildare,6
"Apartment 13, Moore House, Loreto Abbey, Grange Ro, Dublin 14",Double Room,En-suite,Apartment,1,"Apr 16th, 2023",5 Months,1,Yes,Female,12/04/2023,"4,148",,,please read fully contact I room available 3 night per week home home person need dublin day week hybrid work 2 night per week 100 euro 3 night per week 135 euro include gas electricity must like cat bathroom upmarket extremely quiet free parking good public transport network bus 15 16 17 61 75 local amenity nutgrove shopping center gym starbuck 15 minute walk dundrum town center 10min drive m50 junction 11 12 dublin airport 30 min,583,540,Dublin 14,5
"Frankfort Park Dundrum , Dundrum, Dublin 14",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,No,Male / Female,10/04/2023,"1,343",53.2960091,-6.2467566,single available house dundrum road property situate close dundrum town center luas plus bus line run right house house good sized kitchen mod con include dishwasher induction cooker microwave double fridge lot storage space bathroom good sized triton power shower instal also small garden area rear house useful hang clothe dry chill patio two people currently live property present room available 14th april contact I via whatsapp email arrange viewing,667,900,Dublin 14,13
"29 Waterville Row, Blanchardstown, Dublin 15",Double Room,En-suite,Apartment,1,Immediately,1 Year,2,No,Male / Female,13/04/2023,"1,260",53.392435818181816,-6.377446754545455, note email respond 1 king sized bedroom large bathroom shower right beside connolly hospital blanchardstown shopping centre locate face waterville park blanchardstown shopping centre service bus 38 38a 38b bus stop outside development walking distance also national aquatic centre ebay hq castleknock train station share 2 work professional bill not include apartment efficient bill tend little depend usage obviously,593,,Dublin 15,4
"lissaniska, Ennis, Co. Clare",Double Room,Shared Bathroom,House,1,Immediately,3 Months,2,Yes,Male,08/04/2023,948,52.8525041,-8.9967287,room rent 3 bed house tidy bathroom stair small toilet stair garden back nice estate photo come reference need photo idea bank statement ect,181,550,Clare,4
"1 Beach Court, Hands Lane, Rush, Rush, Co. Dublin",Single Room,Shared Bathroom,House,1,Immediately,6 Months,1,No,Female,12/04/2023,"2,204",,,1 single bedroom available female tenant rush co dublin lovely 3 bedroom 3 bathroom house family house current tenant leave create vacancy I look easy go clean tidy female tenant house necessary item include kitchen accessory bathroom share female tenant kitchen gas stove house central heating system house broadband wifi 1 gb speed route city centre bus stop 2 min walk house bus 33x go directly city center 40 min bus 33 go city centre via sword bus 33a take airport 25 30 min rush lusk station 5 min bus 25 min walk tesco supervalue doorstep min walk house free parking rush beach min walk inquiry via email house available 1 april 2023,981,620,,12
"17 Green Street East, Dublin 2",Double Room,Shared Bathroom,Apartment,1,"May 1st, 2023",1 Year,1,No,Male / Female,10/04/2023,"1,547",53.344334,-6.2318763,hello everyone one room available 2 bedroom 2 bathroom luxury apartment minute away google meta salesforce linkedin office detail monthly current rent 1710 euro 1 month rent security deposit apartment share another male bedroom rent come non ensuite bathroom spacious room double bed apartment already fully furnish include washer microwave electric stove dishwasher etc amenity residence gym cinema room gaming room business suite 24 hour man security I look someone organize clean share apartment I ideal person someone quiet respectful not party place please note long term rental thank apply via email short description please viewing asap,888,,Dublin 2,14
"Apartment 406, Harvey's Quay, Limerick, Ennis Road, Co. Limerick",Double Room,Shared Bathroom,Apartment,1,"Apr 15th, 2023",1 Year +,3,No,Male / Female,13/04/2023,835,,,luxury 4 bed apartment balcony high standard finish refuse collection include rent double room available share bathroom modern property comprise large kitchen cum living area mod con 1 minute walk city center view highly recommend two male one female currently occupy apartment non smoker,380,625,Limerick,9
"citywest, Saggart, Co. Dublin",Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,12/04/2023,"2,390",53.293156,-6.4308444,for 1 vegetarian no egg etc new a2 rate good heating big king bed room newly build house share bath ottoman storage bed office table chair big wardrobe location parkland cityw saggart saggart luas stop direct connectivity city centre luas 5 min walk dunne citywest shopping center bus stop 1 km lidl 1 5 km citywest business park sap fidelity infosy 1 5 km no smoking drink inside house please email arrange view,504,800,,5
"Belgard square west, Tallaght, Dublin 24",Shared Room,En-suite,Apartment,1,"Apr 15th, 2023",5 Months,3,No,Female,09/04/2023,860,53.2860838,-6.375218,accommodation tallaght april 15 aug 25 2023 vacancy share room 2 bed apartment share en suite room woman location opposite square tallaght close tallaght hospital 5 min walk away square mall include tesco dunne pennys etc bus luas stop 2 min walk away apartment spacious room ensuite bathroom open plan living room kitchen share apartment working professional rent 550 exclude bill,534,550,Dublin 24,5
"Mullaonmore, Ballon, Co. Carlow",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,141,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 36860,550,520,Carlow,8
"10 St Alphonsus Avenue, Drumcondra, Dublin 3",Single Room,Shared Bathroom,House,1,"Apr 26th, 2023",1 Year +,3,No,Male / Female,10/04/2023,"3,178",,,one single room available house currently occupy 2 male 1 female professional late twenty early thirty room single bed chest drawer wardrobe desk remove want single room obviously small look small picture house 1 min walk drumcondra train station locate 1 11 13 16 41 bus route 20 min walk city center plenty pub shop restaurant local area drop email bit I get back 1st month rent deposit need pay move,689,500,Dublin 3,11
"Cor Na Ron Middle, Inverin, Galway, Inverin, Co. Galway",Single & Double Room,Shared Bathroom,Apartment,2,Immediately,1 Year,1,No,Male / Female,04/04/2023,298,,,quiet location yet near amenity,48,450,Galway,2
"187 Harold's Cross Road, Dublin 1",Double Room,Shared Bathroom,House,1,Immediately,8 Months,1,Yes,Male / Female,12/04/2023,"4,211",53.3231652,-6.2787041, monday sunday evening friday let responsible person want share large refurbished period house harolds cross village easy go owner close bus route 1649954a 10 minute walk rathmine 30 minute walk st stephens green furnish double room I ensuite bathroom pretty much tenant house sit room digital cable tv general work living room large kitchen live area lead patio garden fibre optic wireless broadband throughout house would suit someone away weekend rent eur950 month plus portion bill no parking provide tenancy,844,950,Dublin 1,11
"Leas Na Mara, Knocknacarra, Co. Galway",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,663,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 48122,550,720,Galway,8
"Sallyport, Kinsale, Kinsale, Co. Cork",Double Room,Shared Bathroom,House,1,"Apr 30th, 2023",1 Year +,1,Yes,Female,06/04/2023,286,,,room let modern rural home well suit mode transport seek female tennant,122,600,Cork,4
"Mount Hamilton, Dundalk, Co. Louth",Single Room,Shared Bathroom,House,1,"May 1st, 2023",3 Months,1,Yes,Male / Female,10/04/2023,235,,,one single bedroom available beautiful house house central location carrick road nearby dundalk train station shop cafe restaurant park homeowner professional look quiet clean respectful tenant want rent monday friday would suit person look quiet comfortable house live dundalk area monday friday single room would not suitable overnight guest room available monday friday I look someone reliable trustworthy rent room reference landlord essential question please ask thank rent include bill electricity gas use conservatively room available may 1st 2023 I look forward hear available 3 month initially,943,600,Louth,17
"Portauns, Kilmallock, Co. Limerick",Double Room,En-suite,House,1,Immediately,1 Year +,1,Yes,Male / Female,12/04/2023,"1,047",52.38844335,-8.583357394070903,please read add full room available suit responsible person owner occupy home room available monday friday 120 euro room en suite double bed tv wi fi included house within walk distance kilmallock town 5 minute drive charleville limerick 25 minute drive enquiry please phone 3 pm 9 pm,389,480,Limerick,5
"Slieveroe, Dunhill, Co. Waterford",Single Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,425,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 24040a,551,400,Waterford,8
"Rathmill Manor, Rathcoole, Co. Dublin",Double Room,En-suite,House,2,"May 1st, 2023",1 Year +,3,Yes,Male / Female,10/04/2023,457,53.2759538,-6.4832748, bill include rent 2 large double bedroom available rent newly build rate house quiet cul de sac rathcoole owner portion time week 1 2 day depend week time year rarely weekend room spacious complete build wardrobe room identical one private en suite share bathroom one person share owner 1 2 day per week professional house currently great transport link door step luas close 69 bus go near entrance estate 126 bus minute walk away parking available private driveway en suite room rent 950 non en suite room 900 bill include rent please register interest email little bit,893,900,,14
"16 Glendale Drive, Bray, Bray, Co. Wicklow",Single Room,Shared Bathroom,House,1,"Apr 17th, 2023",1 Year,2,Yes,Female,13/04/2023,56,53.189831,-6.104349,safe secure warm house suitable female student learn english attend local language college,120,600,Wicklow,5
"College heights dundalk , Dundalk, Co. Louth",Single & Double Room,Shared Bathroom,House,1,Immediately,1 Year,3,No,Male,08/04/2023,"2,039",53.9869736,-6.3883666,single room available rent close dkit louth hospital retail park bill prepaid meter email detail view date currently three tenant 3 male no whatsapps,209,420,Louth,4
"1 The Avenue, Carrickmines, Dublin 18",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,Yes,Male / Female,11/04/2023,"2,112",53.2500947,-6.178009613090394,family home luas within walk distance lot amenity outdoor activity like cycling hiking look someone easy get along keep house clean tidy please keep mind contact flexible length time well not specifically look 1 year,367,850,Dublin 18,6
"Chapel Gate, Drumcondra, Dublin 9, Drumcondra, Dublin 3",Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,1,No,Female,12/04/2023,118,,,this opportunity share peaceful home medical student live house would like share one strictly no smoking female close drumcondra train station high specification accommodation include double bedroom adjoining dedicated private living space bathroom addition share living kitchen space etc although quiet location gate community potential tenant willing meet person consider provide reference one month deposit require contact email,602,,Dublin 3,13
"Saint Bernards, Magazine Road, Cork, Glasheen, Co. Cork",Double Room,En-suite,House,2,"Apr 14th, 2023",1 Year,5,No,Male / Female,12/04/2023,"2,300",,, rent include eir tv fibre broadband gas electricity waste collection ucc bon secour 4 6 min walk cuh 6 8 min walk 6 double en suite room detache house ample parking seperate kitchen living area grade aaa,251,600,Cork,2
"Haliday House, Dun Laoghaire, Co. Dublin",Double Room,En-suite,Apartment,1,"May 1st, 2023",6 Months,2,Yes,Male / Female,13/04/2023,215,,,a newly develop two bedroom apartment locate glenageary rd upper dun laoghaire two spacious double room one en suite lead onto oversized balcony master room available double bed en suite shower room build double wardrobe space heating not include large open plan live dining area fully equip modern kitchen build appliance live area plenty space benefit lovely deck area access city assessable via 46a bus corridor minute walk apartment dart also near ucd campus short 15minute commute apartment city access within 35 minute less depend traffic sandyford blackrock business district within easy commute forty foot seapoint dun laoghaire bath within walking distance apartment enjoy sea dip follow question please reach,1059,,,14
"Dorrian Manor, Kilmacredock , Leixlip, Co. Kildare",Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,05/04/2023,328,,,it 5 bedroom detach house acre land nice scenery back garden property come utility bill include rent gas electric bin 15 minute walk intel close motorway shop supermarket lidil spar glen easton use bathroom right beside bedroom second bathroom electric shower sink jacuzzi bath kitchen accessory american fridge ice maker fresh filter water oven hob microwave washing machine tumble dryer dishwasher etc fast internet available bus stop 15 minute walk house go dublin maynooth come hourly leixlip train station 20 minute walk,763,790,Kildare,10
"Cavan road , Kells, Co. Meath",Double Room,En-suite,House,1,Immediately,1 Year,1,No,Male / Female / +1 Person,05/04/2023,"1,008",53.7301974,-6.8834435,the property locate beautiful quiet peaceful environment 7 minute town centre 4 minute m3 road no smoking pet allow bill not include rent,210,600,Cavan,3
"Dublin Road, Maynooth, Co. Kildare",Single Room,En-suite,House,1,"Apr 21st, 2023",1 Year,1,Yes,Female,10/04/2023,"1,617",53.3814327,-6.5767262,female sharer opportunity open female sharer preferably car street parking available share beautiful spacious home extremely independent friendly lady 80 lady offer beautiful spacious single room bathroom use sitting room home heart maynooth village 1 minute walk tesco range 15 minute walk maynooth train station plenty restaurant cafe within short walk plenty green space walk exercise,598,240,Kildare,12
"Mountain View Road, Ranelagh, Dublin 6",Double Room,En-suite,House,1,"Apr 15th, 2023",1 Year,2,No,Male / Female,13/04/2023,"1,736",53.3203889,-6.2518154,rent quote include share heating lighting excellent broadband bin opportunity share beautiful quiet home mature friendly professional couple strictly no smoking house large immaculate victorian home recently renovate garden beautifully furnish high specification accommodation available include double bedroom adjoining small private living room bathroom addition share living kitchen space downstairs although quiet location extensive local amenity ranelagh doorstep well range park recreational facility house 3 minute local luas tram stop potential tenant willing meet person consider provide reference one month deposit require,877,,Dublin 6,15
"Coney Drive, Athy, Co. Kildare",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,03/04/2023,135,52.9830248,-6.9751057,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 49562,549,520,Kildare,8
"3 Sallins Bridge, Sallins, Naas, Naas, Co. Kildare",Single Room,En-suite,House,2,"Jun 2nd, 2023",6 Months,3,Yes,Male / Female,06/04/2023,"1,484",,,looke someone quiet clean non smoking rent ensuite bedroom 900 mbill 4 bedroom 3 bath house beautiful sallin bridge housing estate sallin I busy tech professional I strive create environment cozy feel like home I prefer covid conscious housemate no big gathering consistently visitor chat specific another single room share bath 750 mbill available june 1st sallin bridge straight bus 139 intel campus leixlip maynooth 25 min train ride heuston station dublin house 5 min walk train station village shop restaurant supervalu lidl aldi tesco etc house high speed internet laundry machine garage big kitchen nice front south face rear garden please contact I anyone know might interested rent room comfortable home,1016,750,Kildare,18
"Castleland Park Way , Balbriggan, Co. Dublin",Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,2,Yes,Female,11/04/2023,917,53.59963295,-6.179318636955623,spacious double room available 1st may bathroom share one female locate close bus route train station bill include,169,700,,5
"Avondale Square, Dunboyne, Co. Meath",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,2,No,Male / Female,13/04/2023,986,53.4205237,-6.4753752,large double room 3 bed duplex available 1st april currently one male one female occupant utility share equally ideally situate heart dunboyne amenity village doorstep include school shop restaurant supermarket bus train major road network blanchardstown shopping centre short drive away dublin airport easily accessible via n3 m50,473,600,Meath,8
"Gardice Green, Shannonbanks",Double Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Male / Female,03/04/2023,299,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 19283a,550,520,,8
"Lakepoint Park, Mullingar, Co. Westmeath",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,1,Yes,Male / Female,11/04/2023,"1,463",53.534124,-7.3134774,large double room balcony bright modern house quiet house prefer quiet person usual bill share electricity gas wifi bin reference require cinema 5 minute walk town 15 minute walk hospital 3 5 km away bus stop near reference require please message tell I little bit anyone message ask simply room available not get response,455,450,Westmeath,9
"Rath Glen, Killeshin, Co. Carlow",Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,12/04/2023,143,,,one double bedroom available rent 4 bed semi detached house rath glen quiet residential area 5 minute drive carlow town two people already live house bill split evenly main bathroom share one deposit one month rent require along first month rent pay advance previous reference also require interested please send mail information number arrange viewing,498,450,Carlow,6
"St. Conlons Rd, Nenagh, Co. Tipperary",Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,1,No,Male / Female,13/04/2023,"1,012",,,available mid april clean comfortable room room female 30 consider short term stay also bin include rent esb seperate bill approx 70e monthly careful useage please email detail bit info provide info thank,325,500,Tipperary,7
"Fort Hill, Moneygurney, Douglas, Cork, Douglas, Co. Cork",Double Room,Shared Bathroom,House,1,"Apr 17th, 2023",1 Year,1,Yes,Male,11/04/2023,"2,926",51.8625139,-8.4075372,available april 17th double room plenty space look person share bathroom easygoe clean tidy person please email little information bus route 216 220 close douglas mahon point broadband gas electric split 5050 everything else I cover parking,388,525,Cork,7
"Springvale, Ballinrobe, Co. Mayo",Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male,21/03/2023,326,53.6259059,-9.246763911483008,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 37290,550,560,Mayo,8
"61 Glendara, Kill, Naas, Naas, Co. Kildare",Double Room,Shared Bathroom,House,1,"Jun 1st, 2023",1 Year +,3,No,Male / Female,13/04/2023,44,53.2475119,-6.589741,main double bedroom rent beautiful 4 bed dormer bungalow 2 min walk shop pub bus stop etc quiet location,137,800,Kildare,3
"Adamstown Park, Lucan, Co. Dublin",Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Female,21/03/2023,742,53.3408404,-6.4650123,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 46574,550,800,,8
"Tara Crea 53, Dooradoyle, Co. Limerick",Double Room,En-suite,House,1,"Apr 16th, 2023",3 Months,1,Yes,Female,12/04/2023,657,,,female 1 person accomodation monday friday strictly no overnight guest double ensuite excellent condition quiet cul de sac close crescent shopping centre short distance raheen industrial estate bus route city centre university limerick owner dog no pet gas electricity include 550 per month 130 per week wifi not include no work home available immediately short term rental must clean take care keep room ensuite clean,533,520,Limerick,10
"Bellevue, Cross Douglas Road, Cork, Douglas, Co. Cork",Single Room,Shared Bathroom,House,1,Immediately,1 Year,4,Yes,Male,13/04/2023,330,,,spacious room rent convenient city centre douglas ideally suit outgoing male rent 140 per week inclusive bill,147,560,Cork,4
"Maulbaun, Passage West, Co. Cork",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,390,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 48608a,563,740,Cork,8
"9 The Green, Ocean Links, Strandhill, Sligo, Strandhill, Co. Sligo",Single Room,Shared Bathroom,House,1,"Apr 15th, 2023",6 Months,3,Yes,Male / Female,07/04/2023,400,,,one single bedroom let ample room 4 bedroomed house share sit dining sunroom kitchen large garden initial letting period 6 month possibility extend lease look someone share three others f mid thirty 50 lead four total house full height wardrobe bedside locker electric gas bill share equally ideal location close sligo 10 km 15min driving please respond email give detail potential tenant invite view base information give,601,325,Sligo,8
"Monacurragh House, Blackbog Road, Carlow, Carlow Town, Co. Carlow",Single Room,Shared Bathroom,House,1,"Apr 16th, 2023",1 Year,4,No,Female,12/04/2023,337,,,very close town centre available next week till end august,81,380,Carlow,3
"Church View, Kilmeage, Co. Kildare",Double Room,Shared Bathroom,House,1,"Apr 30th, 2023",6 Months,2,Yes,Male / Female,21/03/2023,196,53.2515379,-6.843759,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 22584,550,720,Kildare,8
"Apartment 22, Venetian Hall, Howth Road, Dublin 5, Dublin 5",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Month,1,Yes,Female,03/04/2023,"1,934",,,private home monday friday availability luxury apartment beautiful clontarf east venetian hall low density quiet well maintain mature development overlook howth road clontarf east howth road two way thoroughfare connect village killester raheny one main arterial route north suburb dublin city centre property position first floor two storey block sunny orientation enjoy sunshine early morning late afternoon venetian hall enjoy excellent location village killester supply local necessity include supermarket post office pharmacy doctor surgery cafe atilde eatery petrol station etc clontarf village minute away vast array specialty shop bar restaurant magnificent st annes park offer less five minute walk away seafront promenade ideal leisurely cycle stroll 1 km venetian hall great selection sporting option within locality including rugby gaa soccer tennis sailing golf club public transport link area great bus stop city centre beyond literally outside front door apartment complex howth road addition killester dart station minute walk away m1 m50 easily access dublin airport approximately 9 km away bill not include mon friday long term stay negotiable one month,1654,,Dublin 5,20
"Talbot Street, Dublin City Centre, Dublin 1",Double Room,En-suite,Apartment,1,Immediately,6 Months,1,No,Male / Female,09/04/2023,"14,067",,,one double bedroom available pleasing modern apartment dublin 1 close luas dart city bus five minute connell street connolly station busara amenity rent 160 euro per week negotiable suitable applicant ideal secure base temporary permanent basis gate community 247 cctv operation duration require price negotiable part time temporary longterm basis well ideal person commute secure base bb deal available please call text detail no email please hard scan email call mary good option arrange viewing,692,640,Dublin 1,14
"1 Cannon View Strandhill Co Sligo , Strandhill, Co. Sligo",Double Room,Shared Bathroom,House,2,Immediately,1 Year +,2,No,Female,09/04/2023,"1,381",,,superb location 100 yard beach front amenity 5 min walk away quiet area box room double bed pet cat currently house reason no pet allow internet house,242,320,Sligo,4
"7 The Drive, Graigavern Lodge, Ballybrittas, Portl, Killenard, Co. Laois",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,2,Yes,Female,13/04/2023,640,,,luxury 4 bedroom house close proximity portlaoise portarlington look person share 2 female tenant owner occupy reference require aas400 per month bill include,207,400,Laois,3
"Porres, Linaro Avenue, Magazine Road, Cork, Glasheen, Co. Cork",Double Room,Shared Bathroom,House,1,"May 15th, 2023",5 Months,3,No,Male / Female,11/04/2023,641,,,double room available sharing house 3 work professional 20 plenty parking,105,700,Cork,2
"107 Furry Park Road, Dublin 5, Raheny, Dublin 5",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,Yes,Male,13/04/2023,235,,,5 minute walk killester dart station 7 minute walk killester village shop 2 minute walk bus right beside st annes park,147,720,Dublin 5,1
"Old Killarney Road, Tralee, Co. Kerry",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,491,52.2639362,-9.6719658,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 36052b,551,600,Kerry,8
"Farrenboley park, Dundrum, Dublin 14",Double Room,Shared Bathroom,House,1,Immediately,3 Months,1,Yes,Female,13/04/2023,"1,194",53.3037042,-6.2456232,sunday evening friday morning please note roon 5 night per week refurbish cottage owner occupy no tenant house quiet relaxing single room double bed available immediately minimum 3 month potential extend duration locate 3 minute walk windy arbour luas stop 3 minute walk bus stop 17 44 61 easy transport link ucd trinity city centre dundrum town center rent pay weekly include utility 4 week rent deposit enquiry email whatsapp please include information,680,600,Dublin 14,7
"131 Saul Road, Dublin 12, Crumlin, Dublin 12",Single Room,Shared Bathroom,House,1,Immediately,1 Year,3,Yes,Male / Female,12/04/2023,519,53.3255602,-6.300137,single room huge writing desk good storage modern house share bathroom living area kitchen mod con always friendly atmosphere house make sure everyone privacy 10 minute bus city centre five bus go past bus stop around corner 12 minute cycle city centre free street parking bill share equally please email I call arrange viewing,465,900,Dublin 12,7
"The Locks, Charlotte Quay Dock, Ringsend Road, Dub, Grand Canal Dock, Dublin 2",Double Room,En-suite,Apartment,1,"Apr 23rd, 2023",5 Months,1,No,Male,12/04/2023,484,,,lovely en suite bedroom rent grand canal dock access balcony room share one irish male late 20 close google facebook linkedin 15 minute walk city centre 5 min walk dart station central location spacious apartment look quiet respectful housemate tell I hobby etc no female no party,404,,Dublin 2,9
"27 Ashleigh Green, Castleknock, Dublin 15",Single & Double Room,Shared Bathroom,House,2,"Apr 16th, 2023",1 Year,2,Yes,Male,14/04/2023,"2,323",53.38138315,-6.366549613625539,room available sunday evening friday morning double single room available lovely 4 bedroom detach house castleknock overlook green public transport include 38 bus stop 5 min walk serve tu dublin tcd also ballycoolin paypal bms nsc ireland city centre blanch sc ebay castleknock train station 5 min walk away serve connection luas tui bolton street maynooth leixlip drumcondra docklands ifsc connolly tara street city centre pearse blanchardstown castleknock village nearby local shop pub post office blanchardstown shopping centre phoenix park,667,550,Dublin 15,6
"Taylor Hill Boulevard, Balscaddan, Co. Dublin",Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Male / Female / +1 Person,13/04/2023,"1,608",53.6096699,-6.2135243,property taylor hill balbriggan double bedroom separate toilet available 3 bed house single person rent 800 euro couple 1000 euro rent exclude bill advance 500 euro,216,800,,4
