Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"Old Coach Road, Castleblayney, Co. Monaghan",Ä100 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 49945",07/04/2023,222
"40 The Garnish, Lancaster Gate, Cork city, Western Road, Co. Cork",Ä873 per month,Double Room,En-suite,Apartment,1,"May 1st, 2023",1 Year +,1,No,Male / Female,"DescriptionBeautiful Master Bedroom with Ensuite Bathroom, available in a luxurious & spacious 2-bedroom apartment. Top floor apartment with views to the stunning Saint Fin Barre's Cathedral.  

Furnished to a very high standard the apartment is very comfortable and spacious with a balcony.

~Stunning Kitchen come Dining room
~Fully fitted kitchen includes dishwasher, etc
~Beautiful Balcony
~Stunning finish throughout the unit
~Private parking included
~Gas fired central heating
~Refuse collection included

(no pets allowed)

Looking for someone, clean and tidy person. Someone respectful who considers the privacy of others.

References and deposit are essential. Bills are additional (broadband, electricity,) but refuse is included.

Please send me an e-mail with relevant information about yourself.",06/04/2023,"1,560"
"Ardlea, Dunshaughlin, Co. Meath",Ä750 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,Descriptionvery nice room storage space widescreen tv xbox 1 chromecast  netflix wifi all provided and heater included.  All bills paid for myself.  only bill is electric bill which is split monthly contact 0894366690 for details. Quiet house don't want any trouble makers student would be ideal but am open if I meet in person and is genuine references essential. Prime location and very quiet estate. Won't be available long as strong interest. To be clear this is a single room,10/04/2023,"1,232"
"5 Saint Brendan's Crescent, Dublin 12, Walkinstown, Dublin 12","Ä1,200 per month",Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,No,Female,"DescriptionDouble bedroom and seperate office room available for rent.

The bedroom is 8.5m2 (4 x 2.5), fully furnished with a double bed, new wardrobes and three storage drawers. The windows are double glazed with new black out blinds. 

The office is 8m2 (2.5 x 3.2), fully furnished with a new table and chair. This has a storage compartment as well. The windows are double glazed with new black out blinds. There is potential for this to be the tenants office/tv room as there is plenty of space for a futon and tv. 

The kitchen is fully equipped with appliances. The back garden is south facing and includes lounge furniture, table and chairs and gas bbq.  There is a private driveway with a space for the tenant's car. The house has a modern alarm system for security. 

The house is located between the Walkinstown roundabout and Templeogue roundabout. Bus routes include 9, the stop is 1min walk from the house, 15a, the stop is 5min walk from the house, and 18 which is a 7min drive. The Luas red line stop at Suir Road and the Red Cow are both a 7min drive from the house. 

Female tenant currently living in the house with one small dog.  

The lease is for 6 months with a view to extending.  
Non-smokers only.

Looking for someone quiet, clean and easy going. 

Email a bit about yourself along with your phone number to arrange a viewing. 

One month payment in advance and deposit required. Bills not included.",14/04/2023,363
"Oak Park, Naas, Co. Kildare",Ä750 per month,Double Room,En-suite,House,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionSpacious bright double bedroom (king size bed with premium mattress, bed storage + 2 wardrobes) in a 3 bed new build A3 house close to Naas town center and hospital. 
Quiet home

Please send a description about yourself and work.
No pets or smoking/vaping..
Bills extra.1 month deposit.  
For sole tenant only. Available immediately.",13/04/2023,"1,455"
"Apartment 117, Longboat Quay South Apartments, Dub, Grand Canal Dock, Dublin 2","Ä1,150 per month",Single Room,Shared Bathroom,Apartment,1,"Apr 15th, 2023",1 Year,2,Yes,Male / Female,"Description*The apartment:*

3 beds (one ensuite), 2 bathrooms with a separate living room and kitchen.
Third floor:
Small private balcony with direct access from the living room
Fully furnished, with functioning kitchen - toaster, kettle, microwave oven
and dishwasher, cutlery etc.; utility closet with washing machine
It's around 10 minutes walk to the IFSC Luas Stop and to the Grand Canal Dart station. Bus stops are at 3 min walking.

I'm looking for a person (either male/female) who is clean, calm and easygoing and currently employed

I'm renting a single room for non-smokers. It has a big wardrobe, chest of drawers, desk and chair.

BILLS AND INTERNET NOT INCLUDED - Price for one room with shared bathroom

A bit more about the area:
Longboat Quay is located in the heart of Grand Canal Dock, Dublin's most sought after city district. A host of amenities are on offer including a wide variety of cafes, restaurants, gyms, sports clubs as well as the chic Marker Hotel and iconic Grand Canal Theatre. The city centre, Ballsbridge, the IFSC and Sandymount are all within walking distance while the DART and LUAS provide easy access to the rest of the city.
heating",11/04/2023,828
"Willowmere Drive, Dublin Road, Thurles, Thurles, Co. Tipperary",Ä90 per week,Double Room,Shared Bathroom,House,3,Immediately,1 Year,2,No,Male / Female,"DescriptionClose to ETB centre Archerstown, 5-10 minute walk St Pats/MI College, 25 minute walk LIT. Quiet central location, 5-10 minute walk from town center, close to Aldi, smaller local shops, Anner Hotel Leisure Centre and other gyms.
Bright Kitchen, Large Sitting/Dining room with generous study area and bathroom with shower.",13/04/2023,374
"Near village , Termonfeckin, Co. Louth",Ä250 per week,Double Room,En-suite,Apartment,1,"Jun 25th, 2023",6 Months,1,Yes,Male / Female / +1 Person,"DescriptionStudio for rent, sleeps 2, bathroom, private outdoor space, close to beach and village with petrol station, post office, shop & pub.",09/04/2023,445
"Newcastle, Castletroy, Co. Limerick",Ä650 per month,Double Room,En-suite,House,1,Immediately,1 Year,1,Yes,Female / +1 Person,"DescriptionFemale Accommodation available from 01/04/2023
A double bedroom is available to rent in a well refurbished detached house. Bus services are just 5 mins walk from the house.  A private bathroom available Kitchen will be shared with an Indian couple. Location near  to the University of Limerick, Castletroy
Taking expressions of interest now and viewings can be arranged. More photos can be shared. Looking for a tidy easy going person.(Not a party house) 
Bins,TV licence,Broadband,Gas ,Security Systems included in rent
Usual identification and references  
Please provide brief details about yourself when enquiring.
Email if interested.",12/04/2023,"2,157"
"134 Mount Prospect Avenue, Dublin 3, Clontarf, Dublin 3",Ä200 per week,Double Room,En-suite,House,1,Immediately,1 Year,6,Yes,Male / Female,DescriptionLarge 6 bedroom family house with attic room en suite for rent. Room only and use of kitchen to cook.,12/04/2023,432
"Barna Road, Knocknacarra, Co. Galway",Ä100 per week,Double Room,En-suite,House,1,"May 1st, 2023",6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 10769B",21/03/2023,"2,072"
"65 Upper Albert Road, Glenageary, Co. Dublin",Ä800 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Female,"DescriptionOverall it is a beautiful space. The area is safe and has a nice friendly neighbourghood. 
It will suit someone who is looking for a place to rest.

The house has a spacious living room and a garden, lots of space to create.

We share a bathroom.

We have a 12 year old bulldog and a cat who live in the living room. Sometime dog barks at night as he is old.

2 other people work full time.
+50‚Ç¨ month to cover electricity/internet/rubbish bills.

From Sep/Oct when we start using electricity it will be higher depending on the usage.

No parties. No smoking. No drugs.

TRANSPORT
15min to the sea.
5 mins from Glenagwary Dart Station and 25mins to the city centre.
5 mins from 59 Bus.",12/04/2023,846
"57 Sliabh Rioga, Rahoon, Co. Galway",Ä875 per month,Double Room,En-suite,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female / +1 Person,"DescriptionWe are a group of three people looking for a fourth person to share a property near the Circular Rd/Letteragh Rd area, we're working on putting together the application this coming week so would like to meet our perfect fourth person ASAP.",11/04/2023,494
"Castlecurragh Heath, Blanchardstown, Dublin 15",Ä900 per month,Double Room,En-suite,House,1,"Apr 30th, 2023",1 Year,2,No,Male / Female / +1 Person,"DescriptionDouble room (en suite) for rent available from 9th January 2023. This room is part of a 3 bedroom house. You will be sharing the house with 2 others.
Bus station in front of the house with the buses 38, 38a and 38b every 15 minutes. These are direct routes to the city centre and Blanchardstown shopping centre.

Blanchastown shopping centre 15 min walk from the house. Spar store and Aldi store approximately 3 min to 7 min walk from the house.
 
Requirements: 

- No Smoking or vaping
- No pets allowed
- Quite and clean tenant
- Friendly
- 1 month deposit and 1 month required on the day of the move in.
- Leaving notice: 30 days.
- References required",11/04/2023,344
"Apartment 58, Eglington, Donnybrook Castle, Stillo, Donnybrook, Dublin 4",Ä750 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Female,"DescriptionA double room is available in a2 bedroom , 2 bath apartment in Donnybrook, Dublin 4. Apartment consists of a kitchen, living room, a separate bathroom , balcony, parking space. It is located 15 min walking distance from St Vincent hospital, 10 min to UCD, 20 min to Royal hospital, Donnybrook. Also 10 min drive to City centre, bus services like 46 A, 145, 146, 39 A,Dublin  airport bus are in front of the apartment complex. All amenities are available nearby spar in 10 min walk, stillorgan village in 1 min by bus. Minimum 3 months stay is required.  one month rent in advance. Contact 0873429899",08/04/2023,"3,094"
"Bakers Yard, Portland Street North, Dublin 1",Ä820 per month,Double Room,Shared Bathroom,Apartment,1,"Apr 15th, 2023",1 Year,1,No,Female,"DescriptionRoom for rent in apartment in Bakers Yard, Portland Street North. House is occupied by easygoing professional in thirties. Looking for a tidy, easy to get on with person.

Available April 15th - double bedroom with exclusive access to main bathroom in fully furnished 2 bed apartment.

Located within easy access to the city centre. 10-15mins walk from O'Connell Street and 5mins walk to fully serviced bus stop (1, 11, 13, 16, 33, 40, 44). 

550 deposit required with first months rent along with references.

Internet and electricity bills not included in rent.

Please email to arrange a viewing with with a brief description about yourself.",10/04/2023,"2,133"
"22 The Cotton Mills, Clonakilty Road, Bandon, Bandon, Co. Cork",Ä600 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,DescriptionRoom to rent in Bandon.  Flexibility available.,31/03/2023,753
"21 The Cove, Malahide, Malahide, Co. Dublin",Ä700 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,"DescriptionOne person required to rent double room in quiet three bedroomed house with a female owner and male tenant.
Double room has plenty of storage and desk. Reliable internet. No working from home.
Five minutes walk to the sea. Bus stop five minutes walk, buses to City Centre, Portmarnock, Sutton, Swords ( and large Pavilions shopping centre)and airport, buses 42, 142, 102 and 32x. Five minute walk to small Londis supermarket.
15 minutes coastal walk to Malahide village with train station, pubs, restaurants, hotel, pharmacies, post office, supermarkets etc. ten minutes walk to Malahide castle and extensive grounds.
Rent 700 per month, 700 deposit and share all bills.
If you are interested, send an email with information about yourself, thanks.",13/04/2023,"1,357"
"16 spa terrace, Mallow, Co. Cork",Ä500 per month,Single Room,Shared Bathroom,House,1,"Apr 25th, 2023",1 Year,1,Yes,Female,"DescriptionA single room, available to rent in Mallow town, is 500 per month, excluding bills. 
1 months rent and deposit are required upfront 

Sharing with a friendly, clean and organised professional 26-year-old female and 1 dog 
Females only
No other pets allowed
References required 

The sitting room will mainly be for new tenants' use as the person upstairs has use of their own sitting room. The downstairs bathroom is for the use of the new tenant privately. 

Available from 25th of April, viewings available",10/04/2023,565
"Beasley Street, Cork, Cork City Centre",From Ä530 to Ä540 per month,Single & Double Room,En-suite,Apartment,3,"May 31st, 2023",3 Months,1,No,Male / Female,"DescriptionAVAILABLE FROM JUNE 1ST TO AUGUST 20TH ONLY

Nicely decorated apartment. All bedrooms have wood floors and tiled bathrooms. Open plan living/dining/kitchen area. Situated right in the heart of the city. Everything the city centre has to offer is within easy walking distance. For terms and conditions contact Alicia or Richael.",12/04/2023,"12,523"
"Apartment 66, Simmonstown Manor, Celbridge, Naas, Celbridge, Co. Kildare",Ä800 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,1,No,Male / Female,DescriptionCosy clean 2 bed apartment in the heart of celbridge village,07/04/2023,559
"Old Balreask Woods, Navan, Co. Meath",Ä140 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 12744B",06/04/2023,218
"1 locan headfrd road castlegar, Headford Road, Co. Galway",Ä800 per month,Double Room,En-suite,Apartment,1,Immediately,6 Months,1,No,Male / Female,"DescriptionPerson wanted to share apartment. You will have a double room with  an en-suite in a ground floor 2 bed apartment. You will
Be sharing with A quiet and tidy male professional. The Room is spacious and has a triple wardrobe. There is gas central heating, a spacious and clean kitchen, appliances, pumped shower and lots of free parking. There is a bus stop practically outside the door! There is a Centra store 200m from the property and Tesco is one minute by car. This is a quiet area and tenants are asked to keep the property clean and in good condition. References required. Please email or contact 087 3693761, 08304810327.",09/04/2023,706
"Cloonbeg, Camp, Co. Kerry",Ä85 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 25498",21/03/2023,446
"42 Woodbine Close, Dublin 5, Raheny, Dublin 5",Ä950 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,2,Yes,Female,"DescriptionVery central, 15 minutes from city centre, 8 minute walk to dart station and Rahney Village. 

On the H1 route the H2,H3 6, 6N. Very quiet area, great facilities, restaurants and bars, close to.Howth and Malahide via the bus routes above. 20 minute walk to the Diesel train station, routes to skerries Drogheda etc. 

Large south facing double Room, Large 5 door wardrobes.. points for tv, computers with full Wifi throughout the house 

The house is Gas heated with Gas hob and electric over and microwave. 

Myself and a Brazil girl live her. 

Thank you for your interest.",06/04/2023,467
"Corcullen, Corcullen, Co. Galway",Ä700 per month,Double Room,Shared Bathroom,House,1,"Apr 14th, 2023",6 Months,2,Yes,Male / Female,"DescriptionDouble room for rent in Corcullen Galway. 10 mins drive from University Hospital Galway. Three bed house owner occupied. Room for rent has largely sole use of the main bathroom. Plenty of living space including utility, kitchen and living room. Large garden and access to garage. No smoking or pets.

700 euro per month + bills (oil, electricity, bins). Rent payable monthly. One month's deposit required.

If you are interested in viewing the room, please send us some information about yourself.

We are planning on doing viewings the on Saturday 15th of April.",11/04/2023,"1,220"
"The Rise, Whitehall, Dublin 9","Ä1,235 per month",Single & Double Room,Shared Bathroom,Apartment,4,Immediately,5 Months,7,No,Male / Female / +1 Person,"DescriptionFurnished 4-bedroom, 1-bathroom house on The Rise in Whitehall. The kitchen is well-equipped with an oven, full-sized refrigerator, 4-burner stove and a rangehood. The living room has a large dining table, a sofa TV and table and chairs.

There is large terrace in the back ideal for BBQ's in the summer!

There is a supermarket and a pharmacy just across the road, while the National Botanic Gardens are within a 20-minute walk. Dublin City University is also nearby and is only a 20-minute walk away.


Highlights:

- The large living area is a great place to relax.
- The house is close to public transport.
- The bathroom is modern and has a large window, sink, toilet and shower.
- The kitchen comes with everything you need to cook including plates and pots.
- There is heating to keep you warm in the colder months.

More Details:

- Very good location in Glasnevin by Griffith avenue, 45 minutes walking to the city center, 15 minutes by bus.
- 8-minute walk to DCU and very convenient to City University, DCU, ALPHA, etc..
- High-speed WIFI and all bills in the price, nice roommates & clean property.
- No landlord references are required.
- Flexible stay.",13/04/2023,"1,299"
"Beaulieu Village, Termonfeckin Road, Drogheda, Co. Louth",Ä900 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,"DescriptionModern house with double bedrooms, built-in wardrobes and shared main bathroom available in a quiet housing estate for a minimum of 12 months

House is owner occupied

Would be suited for a single, clean, respectful, organised and mature professional

20 minutes walk to Drogheda town centre and 20 minutes walk / 5 minutes drive to Our Lady of Lourdes hospital. 

No smoking or pets

Fully fitted kitchen

Rent includes Wifi and bins 

Split electricity bills

One month rent and deposit required

Please WhatsApp with some info about yourself to
arrange a chat and viewing",14/04/2023,942
"54 College Park, Dunshaughlin, Dunshaughlin, Co. Meath",Ä140 per week,Double Room,Shared Bathroom,House,1,"May 3rd, 2023",6 Months,2,Yes,Male / Female,"DescriptionLovely new decorated double room available to rent in College Park, Dunshaughlin.  This house is located in the centre of Dunshaughlin village and close to shops,  bus routes, Parkway train station and 15 mins from Blanchardstown Shopping Centre.  Maynooth is also within commuting distance.  Owner occupied  and available from 3rd May 2023.  Please phone 089 4366800 for more information.",31/03/2023,606
"53 Heytesbury Lane, Ballsbridge, Dublin 4","Ä1,350 per month",Double Room,Shared Bathroom,House,1,"Jul 1st, 2023",1 Year,1,No,Male / Female,"DescriptionLong Term Rental available in Ballsbridge, Dublin 4 from July 2023. You'll be living with one friendly 37 year old gay friendly professional male from Dublin. Looking for quiet considerate housemate.

- Large Double Bedroom - Double Bed, Large Wardrobes, Locker, Desk area (with window onto rear garden)
- Private Garden 
- Large Living Area
- Garage for Storage
- Full Kitchen, Washing Machine, Dryer, Dishwasher, Wifi
- Shared Bathroom  and second WC upstairs.



The area
-Heytesbury Lane is within walking distance of Baggot St (5 mins), St. Stephen's Green/Grafton St (15 min) and Grand Canal Dock (10 mins)

-Herbert Park is a few minutes minutes walk away with Sunday markets, public tennis courts. Lots of nearby amenities, shopping and restaurants/bars with Baggot St,  Ballsbridge, Donnybrook  and Ranelagh on your doorstep.

-Lansdowne DART station, RDS and the AVIVA Stadium are all within a short stroll. 


Parking
Permit Parking available.


Note
As other tenant is hybrid working from home at the moment during office hours, it would suit someone who is working outside the house full time (or at least 3 days a week). 


Rent
-Monthly Rent: 1350+ bills 

-Refundable Deposit of 1350 required, given back when you leave.


Enquiries by email or text only. (viewing recommended)",11/04/2023,569
"3 Willsbrook Rd, Lucan, Co. Dublin",Ä900 per month,Single Room,Shared Bathroom,House,1,"Apr 12th, 2023",1 Year +,2,Yes,Female,"DescriptionSingle Room Free Wifi shared large bathroom with only 1 other student, Laundry included on price, breakfast, all utility bills  1 mins from bus stop, and 10min from  shops and local pub...25 min bus journey to dublin city centre,",11/04/2023,137
"St Sylvesters Villas, Portmarnock, Co. Dublin",Ä225 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,DescriptionHave 1room to let available for 6 months only the price includes bills.,12/04/2023,"1,158"
"36 Cathedral Walk, Monaghan, Co. Monaghan",Ä310 per month,Single Room,Shared Bathroom,House,1,Immediately,6 Months,4,No,Male / Female,"DescriptionSemi - Detatched 2 Story house with basement.  10 Min walk from Monaghan Town.  
Single room for rent.
Fully furnished. 

Bills for Oil, Broadband, Electricity and Bins included.

When moving in you pay 310 rent in advance and 310 deposit. 

References Required.",02/04/2023,295
"8 Fishermans wharf, Ringsend, Dublin 4",Ä950 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Month,4,No,Male / Female,"DescriptionShort-term stay: I am subletting my room for May.  1 month rent 950euros & deposit 950 required. NO sharing of room possible.
You will have a big room with a double bed, a desk to work on and a big wardrobe. The house is super well located in D4 Ringsend. Public transport (Busses and the Luas) are in 7 minutes walking distance. So, are a lot of offices (Google, Indeed, Salesforce etc.). You will live with three young international people. There are 2 bathrooms and you will share a bathroom with one other housemate. Kitchen is fully equipped and all amenities in the living area can be used (washing machine, microwave, water cooker etc.) 

This short-term stay is ideal for anybody who is just getting here in Dublin and needs a place to stay while looking for a long-term solution.",09/04/2023,"1,092"
"Scelig Ard, Headford Road, Co. Galway",Ä675 per month,Double Room,En-suite,House,1,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionDouble Bedroom available with own main bathroom, in a modern 4 bedroom house.

To share with 1 other in this spacious, tidy and cosy home. 
Car parking, high speed WiFi and use of spare room / office area.
 
Room available as short term let or for potential longer term let.

*WEEKDAY ONLY - i.e. Sunday Night / Monday to Friday rental only. Exceptional weekends can be discussed. 

**Unfortunately will be unable to respond to queries seeking accommodation for 2 people, or those looking for full-time / full week rental  

Please call or text for further details.

Many thanks",12/04/2023,"3,301"
"Oaktree Road, Kildare, Co. Kildare",Ä150 per week,Double Room,En-suite,House,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 50079",12/04/2023,115
"Cadogan Rd, D3, Dublin 3",From Ä600 to Ä900 per month,Single & Twin Room,En-suite,House,2,Immediately,3 Months,5,No,Male / Female,"DescriptionTwin ensuite room and a single room for rent in Dublin 3. 
The twin shared bedroom is specifically designed for two people to comfortably and easily share the living space. 

Send an email to apply for a viewing.",13/04/2023,878
"Apartment 75, Dundrum View, The Laurels, Sweetmoun, Dublin 14","Ä1,090 per month",Double Room,En-suite,Apartment,1,"Apr 28th, 2023",1 Year +,1,No,Female,"DescriptionHi,

An ensuite room is available for Long term Accommodation from 28th April 2023.

Located near Dundrum Town Center
Amenities available - Dishwasher, Parking, Microwave, Oven, Washing Machine

Bills apart from Rent - Gas, Electricity, Wi-fi

Looking for a quiet, neat and clean, non-smoking person (females preferred) to share the place with.

Kindly email me on the given id with your description if interested.

All the best",12/04/2023,249
"Glenamuck cottages, Carrickmines, Dublin 18",Ä170 per week,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionCosy Single Room - Single bed
Cosy single room available with single bed in home with dog
All bills included in price - Netflix - Amazon prime - Disney plus - general waste - Recycling - Compost waste - electricity and heating oil 

Price 170 PW",07/04/2023,"2,826"
"Keeper Road, Drimnagh, Dublin 12",Ä950 per month,Double Room,En-suite,House,1,Immediately,1 Year +,2,No,Male / Female,"DescriptionSpacious double bedroom, in a modern refurbished home.

Room has wardrobe, locker and mirror.  Room is located on ground floor, off the kitchen and has a large en-suite. 

House has all the usual mod cons including,  washer/dryer/dishwasher/microwave/gas hob/oven, double fridgefreezer/ GFCH/Fiber TV and Broadband. 

Bills are split evenly and not included in rent.

Currently living in the house are two males.

House is normal 9-5 working, with some social activities at the weekend but in general is pretty quiet. 

Keeper Road is on the 122 bus route and less than 400 meters to Luas Suir Road stop and many other buses on Crumlin road are just minutes away, including 121,123,151,27,56a,77a,17,150. Neighbouring hospitals St James and Crumlin children's are within walking distance, local newsagents seconds away with major supermarkets within 5 minutes walking distance.  

If you are interested please send me a quick email and tell me a little about yourself, how long you would like the room for and if you have any questions about us, please feel free to ask and we can arrange a viewing at a suitable time. 

Thanks",11/04/2023,775
"2 Limeworth, Ballincollig, Cork, Ballincollig, Co. Cork",Ä650 per month,Double Room,En-suite,House,1,"May 22nd, 2023",1 Year +,3,Yes,Female,"Description650/month plus 1/4 utilities (internet, gas, bins and electric) 
-Gas heating (solar panels; well insulated). 

Available: from the end of April

This is an owner occupied 5 bedroom house with 2 rooms rented to tenants. There are two cats and a dog who are often in the house and this may not be a good match for anyone with allergies or who doesn't like pets. 

No smoking. LGBT+ friendly.

The room is double in size and is ensuite. 
We are about a 10 minute walk to the bus stop and shops etc. in Ballincollig. A convenient drive to the city, CUMH, the airport or other locations via the motorway.

If successful written references will be required. The first months rent is payable along with a month's deposit before you move in.

Please message on whatsapp  or email. Do not call please.",07/04/2023,429
"18 The Orchard, Church Bay Road, Crosshaven, Cork, Myrtleville, Co. Cork",Ä550 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,1,Yes,Male / Female,"DescriptionLarge, bright double room with large built-in wardrobes and adjacent bathroom, in a two-bedroom house in Crosshaven

The house is in a quiet cul de sac with beautiful views of the harbor in a small friendly estate in Crosshaven.

1 mature professional currently living in this house (owner occupied)
The bathroom that is adjacent to the bedroom would be for your exclusive use
5 mins walk from Crosshaven Village and local beaches for open water swimming and trail running. 
Parking available
Fibre broadband/internet in the house
Large fridge-freezer and all the usual appliances in the kitchen
The small back garden is under development
Rent includes Wifi, Refuse, Property tax, and parking. Electricity is separate and subject to usage

I am looking for male/female who will treat the house like their home. No pets, no smoking, no crazy house parties (!). The property will be initially offered for 6 months, with a view to extending it, if everything is working out for everyone.

I am accepting expressions of interest by email only so please drop me a line with some information on yourself (short description, mobile phone number), for shortlisting for viewing in the middle of this month",03/04/2023,533
"Corrybrennan Park, Ballybay, Co. Monaghan",Ä140 per week,Twin Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 30085",21/03/2023,211
"20 Heather Hill Mews, Graiguecullen, Carlow, Graiguecullen, Co. Carlow",Ä550 per month,Double Room,Shared Bathroom,House,1,"Apr 15th, 2023",1 Year +,2,No,Female,"DescriptionDouble rooms with large wardrobe available in a nice calm and quite place touched with Dunne store and Gym Carlow. The rent is including all bills (electricity, gas, heating, bins, internet). its a family house. sharing bathroom and kitchen. looking for someone who is more responsible and calm. no parties and smoking. anyone interested contact on phone during week after 6pm on weekend 9 am to 10pm. need deposit and one month advance rent. Only females plz",07/04/2023,157
"Ballagh Cove, The Ballagh, Co. Wexford",Ä140 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 32343",21/03/2023,178
"Apartment 4, House 7, Linden Square, Grove Avenue, Stillorgan, Co. Dublin","Ä1,034 per month",Double Room,Shared Bathroom,Apartment,1,"May 28th, 2023",1 Year +,1,No,Male,"DescriptionDouble room in an apartment share becoming available in first floor 2 bedroom apartment located in Linden Square apartment development within easy reach of Blackrock / Stillorgan Villages & the N11. 

The other tenant is a 34 year old professional & has an en-suite in his room so toilet / shower room will also be available for the sole use of the incoming tenant.

If interested please include information about yourself in response to this listing. 

Preference would be for a male tenant in a professional job. 

Please note a new lease will be signed with the landlord. The landlord will require a copy of your passport & previous landlord references. 

The apartment is generous and comprises entrance hall with storage, living room/ dining room, kitchen/breakfast room with utility room, two double bedrooms. There is solid oak flooring throughout, the kitchen and bathrooms have tiled flooring and there is built in wardrobes in each bedroom. Plenty of on street parking nearby.",13/04/2023,580
